index,variant,date,trades,net_points
0,core_plus_london_reversal_spread_20,2026-02-12,3,1320
1,core_plus_london_reversal_spread_20,2026-02-16,2,880
2,core_plus_london_reversal_spread_20,2026-02-17,2,-180
3,core_plus_london_reversal_spread_20,2026-02-18,1,-90
4,core_plus_london_reversal_spread_20,2026-02-19,2,350
5,core_plus_london_reversal_spread_20,2026-02-20,1,-90
6,core_plus_london_reversal_spread_20,2026-02-23,1,440
7,core_plus_london_reversal_spread_20,2026-02-24,1,-90
8,core_plus_london_reversal_spread_20,2026-02-26,5,-450
9,core_plus_london_reversal_spread_20,2026-03-02,1,-90
10,core_plus_london_reversal_spread_20,2026-03-06,4,170
11,core_plus_london_reversal_spread_22,2026-02-12,3,1320
12,core_plus_london_reversal_spread_22,2026-02-16,2,880
13,core_plus_london_reversal_spread_22,2026-02-17,2,-180
14,core_plus_london_reversal_spread_22,2026-02-18,1,-90
15,core_plus_london_reversal_spread_22,2026-02-19,2,350
16,core_plus_london_reversal_spread_22,2026-02-20,1,-90
17,core_plus_london_reversal_spread_22,2026-02-23,1,440
18,core_plus_london_reversal_spread_22,2026-02-24,1,-90
19,core_plus_london_reversal_spread_22,2026-02-26,5,-450
20,core_plus_london_reversal_spread_22,2026-03-02,1,-90
21,core_plus_london_reversal_spread_22,2026-03-03,1,-90
22,core_plus_london_reversal_spread_22,2026-03-04,3,260
23,core_plus_london_reversal_spread_22,2026-03-06,4,170
24,core_plus_london_reversal_spread_22,2026-03-10,1,440
25,core_plus_london_reversal_spread_22,2026-03-11,1,440
26,core_plus_london_reversal_spread_22,2026-03-12,2,-180
27,core_plus_london_reversal_spread_22,2026-03-16,1,-90
28,core_plus_london_reversal_spread_22,2026-03-17,1,-90
29,core_plus_london_reversal_spread_23,2026-02-12,3,1320
30,core_plus_london_reversal_spread_23,2026-02-16,2,880
31,core_plus_london_reversal_spread_23,2026-02-17,2,-180
32,core_plus_london_reversal_spread_23,2026-02-18,1,-90
33,core_plus_london_reversal_spread_23,2026-02-19,2,350
34,core_plus_london_reversal_spread_23,2026-02-20,1,-90
35,core_plus_london_reversal_spread_23,2026-02-23,1,440
36,core_plus_london_reversal_spread_23,2026-02-24,1,-90
37,core_plus_london_reversal_spread_23,2026-02-26,5,-450
38,core_plus_london_reversal_spread_23,2026-03-02,1,-90
39,core_plus_london_reversal_spread_23,2026-03-03,1,-90
40,core_plus_london_reversal_spread_23,2026-03-04,3,260
41,core_plus_london_reversal_spread_23,2026-03-06,4,170
42,core_plus_london_reversal_spread_23,2026-03-10,1,440
43,core_plus_london_reversal_spread_23,2026-03-11,1,440
44,core_plus_london_reversal_spread_23,2026-03-12,2,-180
45,core_plus_london_reversal_spread_23,2026-03-16,1,-90
46,core_plus_london_reversal_spread_23,2026-03-17,1,-90
47,core_plus_london_reversal_spread_23,2026-03-18,2,350
48,core_plus_london_reversal_spread_23,2026-03-20,1,-90
49,core_plus_london_reversal_spread_23,2026-03-24,1,-90
50,core_plus_london_reversal_spread_23,2026-03-25,2,-180
51,core_plus_london_reversal_spread_23,2026-03-26,1,-90
52,core_plus_london_reversal_spread_23,2026-03-27,1,-90
53,core_plus_london_reversal_spread_23,2026-03-30,3,-270
54,core_plus_london_reversal_spread_23,2026-03-31,1,-90
55,core_plus_london_reversal_spread_23,2026-04-07,2,350
56,core_plus_london_reversal_spread_23,2026-04-22,5,80
57,core_plus_london_reversal_spread_23,2026-04-24,2,-180
58,core_plus_london_reversal_spread_23,2026-04-27,1,-90
59,core_plus_london_reversal_spread_23,2026-04-28,1,-90
60,core_plus_london_reversal_spread_23,2026-04-29,1,-90
61,core_plus_london_reversal_spread_23,2026-04-30,1,-90
62,core_plus_london_reversal_spread_23,2026-05-01,2,-180
63,core_plus_london_reversal_spread_23,2026-05-05,1,-90
64,core_plus_london_reversal_spread_23,2026-05-06,1,440
65,core_plus_london_reversal_spread_23,2026-05-07,2,-180
66,core_plus_london_reversal_spread_23,2026-05-08,1,-90
67,core_plus_london_reversal_spread_23,2026-05-12,2,-180
68,core_plus_london_reversal_spread_23,2026-05-14,2,350
69,core_plus_london_reversal_spread_23,2026-05-15,2,-180
70,core_plus_london_reversal_spread_23,2026-05-18,1,-90
71,core_plus_london_reversal_spread_23,2026-05-19,2,350
72,core_plus_london_reversal_spread_23,2026-05-20,2,-180
73,core_plus_london_reversal_spread_23,2026-05-21,1,-90
74,core_plus_london_reversal_spread_23,2026-05-22,1,-90
75,core_plus_london_reversal_spread_23,2026-05-25,1,-90
76,core_plus_london_reversal_spread_25,2026-02-12,3,1320
77,core_plus_london_reversal_spread_25,2026-02-16,2,880
78,core_plus_london_reversal_spread_25,2026-02-17,2,-180
79,core_plus_london_reversal_spread_25,2026-02-18,1,-90
80,core_plus_london_reversal_spread_25,2026-02-19,2,350
81,core_plus_london_reversal_spread_25,2026-02-20,1,-90
82,core_plus_london_reversal_spread_25,2026-02-23,1,440
83,core_plus_london_reversal_spread_25,2026-02-24,1,-90
84,core_plus_london_reversal_spread_25,2026-02-26,5,-450
85,core_plus_london_reversal_spread_25,2026-03-02,1,-90
86,core_plus_london_reversal_spread_25,2026-03-03,1,-90
87,core_plus_london_reversal_spread_25,2026-03-04,3,260
88,core_plus_london_reversal_spread_25,2026-03-06,4,170
89,core_plus_london_reversal_spread_25,2026-03-10,1,440
90,core_plus_london_reversal_spread_25,2026-03-11,1,440
91,core_plus_london_reversal_spread_25,2026-03-12,2,-180
92,core_plus_london_reversal_spread_25,2026-03-16,1,-90
93,core_plus_london_reversal_spread_25,2026-03-17,1,-90
94,core_plus_london_reversal_spread_25,2026-03-18,2,350
