component,entry_time,exit_time,date,signal,direction,target_points,stop_points,horizon_bars,outcome,net_points,source_bar_index,variant
ict_london_reversal,2026-02-12 08:00:00+00:00,2026-02-12 08:02:00+00:00,2026-02-12,-1,SHORT,450,80,10,1,440,78,core_plus_london_reversal_spread_20
ict_london_reversal,2026-02-12 10:33:00+00:00,2026-02-12 10:37:00+00:00,2026-02-12,1,LONG,450,80,10,1,440,231,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-12 15:57:00+00:00,2026-02-12 16:00:00+00:00,2026-02-12,-1,SHORT,450,80,15,1,440,555,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-16 15:48:00+00:00,2026-02-16 15:51:00+00:00,2026-02-16,1,LONG,450,80,15,1,440,3301,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-16 16:17:00+00:00,2026-02-16 16:20:00+00:00,2026-02-16,-1,SHORT,450,80,15,1,440,3330,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-17 15:20:00+00:00,2026-02-17 15:21:00+00:00,2026-02-17,1,LONG,450,80,15,-1,-90,4503,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-17 18:31:00+00:00,2026-02-17 18:32:00+00:00,2026-02-17,1,LONG,450,80,15,-1,-90,4694,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-18 14:13:00+00:00,2026-02-18 14:14:00+00:00,2026-02-18,-1,SHORT,450,80,15,-1,-90,5814,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-19 14:32:00+00:00,2026-02-19 14:36:00+00:00,2026-02-19,-1,SHORT,450,80,15,1,440,7211,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-19 18:58:00+00:00,2026-02-19 18:59:00+00:00,2026-02-19,1,LONG,450,80,15,-1,-90,7477,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-20 16:30:00+00:00,2026-02-20 16:31:00+00:00,2026-02-20,1,LONG,450,80,15,-1,-90,8707,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-23 14:29:00+00:00,2026-02-23 14:38:00+00:00,2026-02-23,1,LONG,450,80,15,1,440,9963,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-24 16:31:00+00:00,2026-02-24 16:32:00+00:00,2026-02-24,-1,SHORT,450,80,15,-1,-90,11463,core_plus_london_reversal_spread_20
ict_london_reversal,2026-02-26 08:36:00+00:00,2026-02-26 08:37:00+00:00,2026-02-26,-1,SHORT,450,80,10,-1,-90,13744,core_plus_london_reversal_spread_20
ict_london_reversal,2026-02-26 08:50:00+00:00,2026-02-26 08:51:00+00:00,2026-02-26,1,LONG,450,80,10,-1,-90,13758,core_plus_london_reversal_spread_20
ict_london_reversal,2026-02-26 09:04:00+00:00,2026-02-26 09:05:00+00:00,2026-02-26,1,LONG,450,80,10,-1,-90,13772,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-26 16:01:00+00:00,2026-02-26 16:02:00+00:00,2026-02-26,1,LONG,450,80,15,-1,-90,14189,core_plus_london_reversal_spread_20
ict_reversal_core,2026-02-26 16:31:00+00:00,2026-02-26 16:32:00+00:00,2026-02-26,1,LONG,450,80,15,-1,-90,14219,core_plus_london_reversal_spread_20
ict_reversal_core,2026-03-02 17:47:00+00:00,2026-03-02 17:48:00+00:00,2026-03-02,1,LONG,450,80,15,-1,-90,17050,core_plus_london_reversal_spread_20
ict_london_reversal,2026-03-06 09:27:00+00:00,2026-03-06 09:32:00+00:00,2026-03-06,-1,SHORT,450,80,10,1,440,22044,core_plus_london_reversal_spread_20
ict_reversal_core,2026-03-06 14:34:00+00:00,2026-03-06 14:35:00+00:00,2026-03-06,1,LONG,450,80,15,-1,-90,22351,core_plus_london_reversal_spread_20
ict_reversal_core,2026-03-06 15:31:00+00:00,2026-03-06 15:32:00+00:00,2026-03-06,-1,SHORT,450,80,15,-1,-90,22408,core_plus_london_reversal_spread_20
ict_reversal_core,2026-03-06 17:03:00+00:00,2026-03-06 17:04:00+00:00,2026-03-06,-1,SHORT,450,80,15,-1,-90,22500,core_plus_london_reversal_spread_20
ict_london_reversal,2026-02-12 08:00:00+00:00,2026-02-12 08:02:00+00:00,2026-02-12,-1,SHORT,450,80,10,1,440,78,core_plus_london_reversal_spread_22
ict_london_reversal,2026-02-12 10:33:00+00:00,2026-02-12 10:37:00+00:00,2026-02-12,1,LONG,450,80,10,1,440,231,core_plus_london_reversal_spread_22
