variant,description,spread_threshold,trades,trades_per_active_day,wins,losses,unresolved,win_rate,profit_factor,expectancy_points,total_points,max_dd_points,profit_to_dd,max_losing_streak,active_trade_days,worst_day_points,best_day_points
quality_plus_failed_spread_20,Reversal solo alta qualita' + continuation sui casi sfavorevoli,20,11,0.1506849315068493,9,2,0,0.8181818181818182,16.64,355.45454545454544,3910.0,160.0,24.4375,1,9,-90.0,880.0
reversal_quality_spread_20,Solo reversal ICT NY con ATR basso e movimento non esteso,20,6,0.0821917808219178,5,1,0,0.8333333333333334,24.444444444444443,351.6666666666667,2110.0,90.0,23.444444444444443,1,5,-90.0,880.0
reversal_quality_spread_22,Solo reversal ICT NY con ATR basso e movimento non esteso,22,7,0.0958904109589041,5,2,0,0.7142857142857143,12.222222222222221,288.57142857142856,2020.0,90.0,22.444444444444443,1,6,-90.0,880.0
core_with_failed_replacement_spread_20,"Core reversal, ma sostituisce i casi sfavorevoli con continuation",20,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0
failed_continuation_spread_20,Continuation opposta sui casi dove il reversal e' sfavorevole,20,5,0.0684931506849315,4,1,0,0.8,12.25,360.0,1800.0,160.0,11.25,1,4,330.0,490.0
quality_plus_failed_spread_22,Reversal solo alta qualita' + continuation sui casi sfavorevoli,22,14,0.1917808219178082,9,5,0,0.6428571428571429,6.303030303030303,250.0,3500.0,320.0,10.9375,2,12,-160.0,880.0
quality_plus_failed_spread_25,Reversal solo alta qualita' + continuation sui casi sfavorevoli,25,32,0.4383561643835616,15,17,0,0.46875,3.58974358974359,157.8125,5050.0,570.0,8.859649122807017,6,27,-320.0,880.0
quality_plus_failed_spread_23,Reversal solo alta qualita' + continuation sui casi sfavorevoli,23,29,0.3972602739726027,14,15,0,0.4827586206896552,3.7062146892655368,165.17241379310346,4790.0,570.0,8.403508771929825,4,24,-320.0,880.0
core_with_failed_replacement_spread_22,"Core reversal, ma sostituisce i casi sfavorevoli con continuation",22,23,0.3150684931506849,10,13,0,0.43478260869565216,3.3333333333333335,140.0,3220.0,430.0,7.488372093023256,4,15,-160.0,880.0
core_plus_retrace_spread_22,Core reversal + miglior displacement retracement standalone,22,38,0.5205479452054794,11,27,0,0.2894736842105263,2.2805429864253393,74.47368421052632,2830.0,410.0,6.902439024390244,5,15,-250.0,880.0
failed_continuation_spread_23,Continuation opposta sui casi dove il reversal e' sfavorevole,23,14,0.1917808219178082,8,6,0,0.5714285714285714,4.083333333333333,211.42857142857142,2960.0,480.0,6.166666666666667,3,12,-320.0,490.0
failed_continuation_spread_25,Continuation opposta sui casi dove il reversal e' sfavorevole,25,14,0.1917808219178082,8,6,0,0.5714285714285714,4.083333333333333,211.42857142857142,2960.0,480.0,6.166666666666667,3,12,-320.0,490.0
core_with_failed_replacement_spread_23,"Core reversal, ma sostituisce i casi sfavorevoli con continuation",23,57,0.7808219178082192,18,39,0,0.3157894736842105,2.1170483460559795,77.01754385964912,4390.0,810.0,5.419753086419753,9,38,-320.0,880.0
core_plus_retrace_spread_20,Core reversal + miglior displacement retracement standalone,20,28,0.3835616438356164,8,20,0,0.2857142857142857,2.2378048780487805,72.5,2030.0,410.0,4.951219512195122,5,11,-250.0,880.0
failed_continuation_spread_22,Continuation opposta sui casi dove il reversal e' sfavorevole,22,7,0.0958904109589041,4,3,0,0.5714285714285714,4.083333333333333,211.42857142857142,1480.0,320.0,4.625,2,6,-160.0,490.0
core_with_failed_replacement_spread_25,"Core reversal, ma sostituisce i casi sfavorevoli con continuation",25,61,0.8356164383561644,19,42,0,0.3114754098360656,2.085714285714286,74.75409836065573,4560.0,1080.0,4.222222222222222,12,41,-320.0,880.0
reversal_quality_spread_23,Solo reversal ICT NY con ATR basso e movimento non esteso,23,15,0.2054794520547945,6,9,0,0.4,3.259259259259259,122.0,1830.0,450.0,4.066666666666666,5,13,-90.0,880.0
core_plus_london_reversal_spread_22,Core reversal + miglior ICT London reversal standalone,22,33,0.4520547945205479,11,22,0,0.3333333333333333,2.4444444444444446,86.66666666666667,2860.0,720.0,3.9722222222222223,8,18,-450.0,1320.0
reversal_quality_spread_25,Solo reversal ICT NY con ATR basso e movimento non esteso,25,18,0.2465753424657534,7,11,0,0.3888888888888889,3.111111111111111,116.11111111111111,2090.0,540.0,3.8703703703703702,6,16,-90.0,880.0
core_plus_rsi_london_spread_22,Core reversal + miglior RSI sweep London standalone,22,87,1.1917808219178083,22,65,0,0.25287356321839083,1.8336755646817249,46.666666666666664,4060.0,1110.0,3.6576576576576576,15,22,-370.0,1150.0
reversal_core_spread_22,ICT NY reversal su tutti i segnali displacement,22,23,0.3150684931506849,7,16,0,0.30434782608695654,2.138888888888889,71.30434782608695,1640.0,460.0,3.5652173913043477,5,15,-270.0,880.0
core_plus_london_reversal_spread_20,Core reversal + miglior ICT London reversal standalone,20,23,0.3150684931506849,8,15,0,0.34782608695652173,2.6074074074074076,94.34782608695652,2170.0,630.0,3.4444444444444446,7,11,-450.0,1320.0
core_plus_rsi_london_spread_23,Core reversal + miglior RSI sweep London standalone,23,234,3.2054794520547945,47,187,0,0.20085470085470086,1.353109363831308,21.11111111111111,4940.0,1580.0,3.1265822784810124,20,60,-580.0,1170.0
core_plus_rsi_london_spread_25,Core reversal + miglior RSI sweep London standalone,25,255,3.493150684931507,50,205,0,0.19607843137254902,1.3161332462442847,18.980392156862745,4840.0,1590.0,3.0440251572327046,20,63,-580.0,1170.0
core_plus_retrace_spread_25,Core reversal + miglior displacement retracement standalone,25,107,1.4657534246575343,23,84,0,0.21495327102803738,1.5526315789473684,35.32710280373832,3780.0,1460.0,2.589041095890411,18,41,-410.0,880.0
core_plus_retrace_spread_23,Core reversal + miglior displacement retracement standalone,23,99,1.356164383561644,21,78,0,0.21212121212121213,1.5235849056603774,33.63636363636363,3330.0,1300.0,2.5615384615384613,16,38,-410.0,880.0
core_plus_rsi_london_spread_20,Core reversal + miglior RSI sweep London standalone,20,58,0.7945205479452054,14,44,0,0.2413793103448276,1.7198795180722892,41.206896551724135,2390.0,1110.0,2.1531531531531534,15,15,-300.0,1150.0
core_plus_london_reversal_spread_25,Core reversal + miglior ICT London reversal standalone,25,84,1.1506849315068493,19,65,0,0.2261904761904762,1.429059829059829,29.88095238095238,2510.0,1200.0,2.091666666666667,13,50,-450.0,1320.0
reversal_core_spread_20,ICT NY reversal su tutti i segnali displacement,20,17,0.2328767123287671,5,12,0,0.29411764705882354,2.037037037037037,65.88235294117646,1120.0,630.0,1.7777777777777777,7,11,-270.0,880.0
