setup_id,family,params,trades,trades_per_active_day,wins,losses,unresolved,win_rate,profit_factor,expectancy_points,total_points,max_dd_points,profit_to_dd,max_losing_streak,active_trade_days,worst_day_points,best_day_points,candidate_setup_id,candidate_family,candidate_pf,candidate_expectancy,candidate_profit_to_dd,candidate_trades,overlap_entries,overlap_handling,shared_losing_days,delta_total_points,delta_max_dd_points,delta_losing_streak,passes_core_filters
combo__failed_reversal_continuation__target-500__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,combo,baseline + target=500;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,combo,baseline + target=500;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,combo,baseline + target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,combo,baseline + target=500;stop=150;horizon=30;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-30__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,combo,baseline + target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,combo,baseline + target=500;stop=150;horizon=45;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-45__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,combo,baseline + target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,combo,baseline + target=500;stop=150;horizon=60;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,5.265822784810126,198.23529411764707,3370.0,250.0,13.48,2,11,-90.0,880.0,failed_reversal_continuation__target-500__stop-150__horizon-60__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,12.25,360.0,11.25,5,5,replace,0,2250.0,-380.0,-5,True
combo__failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,combo,baseline + target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=1.2;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,4.7594936708860756,174.7058823529412,2970.0,250.0,11.88,2,11,-90.0,880.0,failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-1p2__trend-False,failed_reversal_continuation,9.75,280.0,8.75,5,5,replace,0,1850.0,-380.0,-5,True
combo__failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,combo,baseline + target=400;stop=150;horizon=15;session=NY Open;spread<=20;atr>=450;dir_prev10<=-100;body_atr>=None;trend=False,17,0.2328767123287671,9,8,0,0.5294117647058824,4.7594936708860756,174.7058823529412,2970.0,250.0,11.88,2,11,-90.0,880.0,failed_reversal_continuation__target-400__stop-150__horizon-15__session-NYOpen__spreadlt-20__atrgt-450__dir_prev10lt--100__body_atrgt-None__trend-False,failed_reversal_continuation,9.75,280.0,8.75,5,5,replace,0,1850.0,-380.0,-5,True
