Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpFailedTargetPoints,InpFailedStopPoints
10,59357.02,9357.02,550.412941,3.189074,6.315483,137.778612,0,2.8923,17,600,210
13,58624.13,8624.13,507.301765,2.824861,4.23986,112.361136,0,3.9575,17,690,210
9,58283.11,8283.11,487.241765,2.950312,5.591407,123.671856,0,2.8989,17,570,210
6,58218.08,8218.08,483.416471,3.211688,7.261777,146.93462,0,2.0416,17,480,210
12,58091.73,8091.73,475.984118,2.718376,3.982503,109.370011,0,3.9579,17,660,210
8,57842.18,7842.18,461.304706,2.85109,5.293763,119.894247,0,2.9029,17,540,210
5,57728.86,7728.86,454.638824,3.087099,6.856932,142.228199,0,2.042,17,450,210
11,57581.11,7581.11,445.947647,2.615133,3.742797,105.149728,0,3.9541,17,630,210
24,57510.47,7510.47,441.792353,2.7413,5.779063,123.860415,0,2.5496,17,600,240
7,57214.81,7214.81,424.400588,2.711658,4.891065,114.126314,0,2.894,17,510,210
4,56976.77,6976.77,410.398235,2.894806,6.24124,134.461319,0,2.0433,17,420,210
27,56799.05,6799.05,399.944118,2.418236,3.623281,99.197076,0,3.6705,17,690,240
23,56605.09,6605.09,388.534706,2.540679,5.082402,110.133531,0,2.5551,17,570,240
20,56542.07,6542.07,384.827647,2.710716,5.693807,128.611369,0,2.1065,17,480,240
3,56442.97,6442.97,378.998235,2.758909,5.79847,117.938902,0,2.0441,17,390,210
26,56341.61,6341.61,373.035882,2.326416,3.379506,95.760106,0,3.6744,17,660,240
22,56222.15,6222.15,366.008824,2.454001,4.787742,106.123776,0,2.5582,17,540,240
38,56187.32,6187.32,363.96,2.455891,5.112643,112.185166,0,2.3847,17,600,270
19,56110.44,6110.44,359.437647,2.602272,5.331414,123.471052,0,2.1093,17,450,240
25,55884.07,5884.07,346.121765,2.235376,3.151415,91.263494,0,3.663,17,630,240
2,55863.26,5863.26,344.897647,2.60713,5.309673,111.199554,0,2.043,17,360,210
21,55674.98,5674.98,333.822353,2.33172,4.388663,100.062542,0,2.5481,17,510,240
41,55532.0,5532.0,325.411765,2.176265,3.169674,89.223351,0,3.43,17,690,270
18,55478.82,5478.82,322.283529,2.444478,4.823967,115.56749,0,2.1067,17,420,240
37,55383.79,5383.79,316.693529,2.272619,4.449413,98.584542,0,2.3889,17,570,270
34,55380.5,5380.5,316.5,2.428105,4.666927,115.662047,0,2.1424,17,480,270
40,55127.1,5127.1,301.594118,2.093462,2.937678,85.513503,0,3.4332,17,660,270
52,55093.37,5093.37,299.61,2.199755,4.191557,99.518394,0,2.4029,17,600,300
36,55055.47,5055.47,297.380588,2.197417,4.178074,94.581628,0,2.3915,17,540,270
17,55026.25,5026.25,295.661765,2.330636,4.446278,99.643693,0,2.1084,17,390,240
33,55016.5,5016.5,295.088235,2.335461,4.374117,110.623368,0,2.1383,17,450,270
1,54879.0,4879.0,287.0,2.353038,4.482315,100.902543,0,2.0441,17,330,210
39,54743.85,4743.85,279.05,2.014176,2.728405,81.033354,0,3.4261,17,630,270
35,54576.62,4576.62,269.212941,2.087595,3.782331,88.287148,0,2.3936,17,510,270
16,54523.59,4523.59,266.093529,2.202532,4.020504,92.737766,0,2.1093,17,360,240
48,54508.24,4508.24,265.190588,2.220713,3.931388,104.835386,0,2.1507,17,480,300
55,54465.37,4465.37,262.668824,1.951786,2.574131,78.024636,0,3.4222,17,690,300
32,54461.87,4461.87,262.462941,2.193227,3.911108,102.458136,0,2.1418,17,420,270
51,54388.91,4388.91,258.171176,2.038451,3.633805,86.477198,0,2.3927,17,570,300
47,54179.37,4179.37,245.845294,2.134521,3.656076,99.648635,0,2.1503,17,450,300
54,54105.87,4105.87,241.521765,1.877484,2.367396,74.093098,0,3.4245,17,660,300
50,54076.91,4076.91,239.818235,1.966697,3.376043,82.134476,0,2.3946,17,540,300
31,54052.93,4052.93,238.407647,2.087927,3.571556,87.03358,0,2.1414,17,390,270
53,53756.29,3756.29,220.958235,1.803823,2.165833,69.315417,0,3.4296,17,630,300
46,53694.55,3694.55,217.326471,2.007975,3.2511,91.559826,0,2.1509,17,420,300
0,53688.99,3688.99,216.999412,2.033913,3.389681,84.579825,0,2.1766,17,300,210
15,53672.99,3672.99,216.058235,1.986522,3.311387,81.605714,0,2.1069,17,330,240
49,53648.88,3648.88,214.64,1.868378,3.021597,75.721701,0,2.3966,17,510,300
30,53621.37,3621.37,213.021765,1.975826,3.20833,80.250141,0,2.1393,17,360,270
45,53329.08,3329.08,195.828235,1.911355,2.946297,76.779717,0,2.1488,17,390,300
44,52942.63,2942.63,173.095882,1.808255,2.612095,69.932139,0,2.1509,17,360,300
29,52871.07,2871.07,168.886471,1.780237,2.571123,68.606528,0,2.1415,17,330,270
14,52649.72,2649.72,155.865882,1.718679,2.41195,64.738041,0,2.1096,17,300,240
43,52263.44,2263.44,133.143529,1.625455,2.02779,57.773482,0,2.1541,17,330,300
28,51959.34,1959.34,115.255294,1.536976,1.773833,51.251311,0,2.1394,17,300,270
42,51460.24,1460.24,85.896471,1.406943,1.319872,40.590505,0,2.1539,17,300,300
