Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpQualityTargetPoints,InpQualityStopPoints,InpQualityAtrMaxPoints
35,62465.92,12465.92,289.905116,1.798167,3.39807,84.556928,0,5.688,43,550,140,320
34,61630.82,11630.82,270.484186,1.746293,3.08608,87.657817,0,5.8522,43,500,140,320
33,59567.39,9567.39,222.497442,1.627248,2.405106,85.210813,0,6.3038,43,450,140,320
32,62524.54,12524.54,298.203333,1.763667,2.591023,87.543711,0,7.3869,42,550,120,320
31,61800.1,11800.1,280.954762,1.720166,2.386443,93.219655,0,7.5688,42,500,120,320
30,59586.34,9586.34,228.24619,1.598898,1.85803,92.565592,0,8.0853,42,450,120,320
29,66202.09,16202.09,385.764048,1.927341,3.064353,97.895025,0,7.701,42,550,100,320
28,65281.33,15281.33,363.84119,1.87621,2.904141,105.309974,0,7.7002,42,500,100,320
27,62550.09,12550.09,298.811667,1.739428,2.348357,107.438659,0,8.0593,42,450,100,320
26,68527.3,18527.3,451.885366,2.018617,3.086793,104.753264,0,8.1197,41,550,80,320
25,67782.22,17782.22,433.712683,1.981092,2.980184,114.724827,0,8.1158,41,500,80,320
24,64709.6,14709.6,358.770732,1.838288,2.514737,121.393733,0,8.29,41,450,80,320
23,67607.58,17607.58,429.453171,2.248943,5.576236,116.881944,0,4.6196,41,550,140,280
22,66699.17,16699.17,407.296829,2.18695,5.304153,123.521409,0,4.6211,41,500,140,280
21,64461.28,14461.28,352.714146,2.05038,4.714907,126.828595,0,4.6173,41,450,140,280
20,66989.21,16989.21,414.370976,2.095528,3.288939,116.226434,0,7.3689,41,550,120,280
19,66206.09,16206.09,395.270488,2.046564,3.149455,125.710788,0,7.3686,41,500,120,280
18,63837.4,13837.4,337.497561,1.915105,2.769241,131.638889,0,7.3657,41,450,120,280
17,70963.21,20963.21,511.297805,2.267499,3.699414,124.360271,0,7.6997,41,550,100,280
16,69992.6,19992.6,487.62439,2.211046,3.540556,135.657674,0,7.7068,41,500,100,280
15,67057.25,17057.25,416.030488,2.062451,3.126048,144.546307,0,7.7047,41,450,100,280
14,73590.05,23590.05,589.75125,2.379184,3.659999,131.594607,0,8.1196,40,550,80,280
13,72786.33,22786.33,569.65825,2.337339,3.555742,145.726029,0,8.1172,40,500,80,280
12,69487.1,19487.1,487.1775,2.18204,3.09966,160.796274,0,8.2968,40,450,80,280
11,67294.75,17294.75,467.425676,2.428224,4.618004,120.664817,0,5.377,37,550,140,240
10,66599.19,16599.19,448.626757,2.372633,4.450221,129.259989,0,5.3739,37,500,140,240
9,64528.52,14528.52,392.662703,2.22569,3.992569,134.93551,0,5.3758,37,450,140,240
8,69638.07,19638.07,530.758649,2.483867,4.882274,135.815898,0,5.6236,37,550,120,240
7,68823.3,18823.3,508.737838,2.42406,4.697276,148.375914,0,5.6243,37,500,120,240
6,66353.75,16353.75,441.993243,2.266178,4.199213,159.419823,0,5.6269,37,450,120,240
5,73673.95,23673.95,639.836486,2.657872,5.249062,141.579254,0,6.0109,37,550,100,240
4,72658.02,22658.02,612.378919,2.589518,5.046701,155.839608,0,6.0111,37,500,100,240
3,69604.51,19604.51,529.851622,2.413622,4.5162,169.779374,0,6.0135,37,450,100,240
2,76280.17,26280.17,730.004722,2.779155,4.987507,147.969197,0,6.5156,36,550,80,240
1,75436.56,25436.56,706.571111,2.729247,4.854472,165.154663,0,6.5152,36,500,80,240
0,72024.3,22024.3,611.786111,2.546843,4.261017,186.289084,0,6.6959,36,450,80,240
