Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpQualityTargetPoints,InpFailedStopPoints
14,59023.35,9023.35,530.785294,3.414688,7.911749,153.521709,0,2.0445,17,600,210
13,59023.35,9023.35,530.785294,3.414688,7.911749,153.521709,0,2.0445,17,550,210
12,59023.35,9023.35,530.785294,3.414688,7.911749,153.521709,0,2.0445,17,500,210
11,59023.35,9023.35,530.785294,3.414688,7.911749,153.521709,0,2.0445,17,450,210
10,59023.35,9023.35,530.785294,3.414688,7.911749,153.521709,0,2.0445,17,400,210
19,57223.34,7223.34,424.902353,2.87745,6.244567,135.528434,0,2.1094,17,600,240
18,57223.34,7223.34,424.902353,2.87745,6.244567,135.528434,0,2.1094,17,550,240
17,57223.34,7223.34,424.902353,2.87745,6.244567,135.528434,0,2.1094,17,500,240
16,57223.34,7223.34,424.902353,2.87745,6.244567,135.528434,0,2.1094,17,450,240
15,57223.34,7223.34,424.902353,2.87745,6.244567,135.528434,0,2.1094,17,400,240
4,54707.11,4707.11,294.194375,1.844355,2.004467,55.146584,0,4.386,16,600,150
3,54707.11,4707.11,294.194375,1.844355,2.004467,55.146584,0,4.386,16,550,150
2,54707.11,4707.11,294.194375,1.844355,2.004467,55.146584,0,4.386,16,500,150
1,54707.11,4707.11,294.194375,1.844355,2.004467,55.146584,0,4.386,16,450,150
0,54707.11,4707.11,294.194375,1.844355,2.004467,55.146584,0,4.386,16,400,150
9,53350.46,3350.46,209.40375,1.642921,1.50798,45.901289,0,4.2117,16,600,180
8,53350.46,3350.46,209.40375,1.642921,1.50798,45.901289,0,4.2117,16,550,180
7,53350.46,3350.46,209.40375,1.642921,1.50798,45.901289,0,4.2117,16,500,180
6,53350.46,3350.46,209.40375,1.642921,1.50798,45.901289,0,4.2117,16,450,180
5,53350.46,3350.46,209.40375,1.642921,1.50798,45.901289,0,4.2117,16,400,180
